Index,Question,Response
၇၁, MLS Next Pro အကြောင်း ဖော်ပြပါ။,MLS Next Pro ဟာ အမေရိကန်နိုင်ငံရဲ့ အသစ်ထွက်ပေါ်လာတဲ့ ဘောလုံးပြိုင်ပွဲဖြစ်ပြီး အသွင်အပြင်ဆန်းသစ်သော ကစားနည်းများလည်းပါဝင်ပါတယ်။
၇၂, K League 1 (South Korea) အကြောင်း ဖော်ပြပါ။,K League 1 ဟာ တောင်ကိုရီးယားနိုင်ငံရဲ့ အထင်ကရပြိုင်ပွဲဖြစ်ပြီး Jeonbuk Hyundai Motors နှင့် Ulsan Hyundai တို့က ထိပ်တန်းအသင်းများဖြစ်ပါတယ်။
၇၃, Allsvenskan (Sweden) အကြောင်း ဖော်ပြပါ။,Allsvenskan ဟာ ဆွီဒင်နိုင်ငံရဲ့ ထိပ်တန်းပြိုင်ပွဲဖြစ်ပြီး Malmö FF နှင့် AIK တို့က ထိပ်တန်းအသင်းများဖြစ်ပါတယ်။
၇၄, Ukrainian Premier League အကြောင်း ဖော်ပြပါ။,Ukrainian Premier League ဟာ ယူကရိန်းနိုင်ငံရဲ့ အထင်ကရပြိုင်ပွဲဖြစ်ပြီး Shakhtar Donetsk နှင့် Dynamo Kyiv တို့က ထိပ်တန်းအသင်းများဖြစ်ပါတယ်။
၇၅, Ekstraklasa (Poland) အကြောင်း ဖော်ပြပါ။,Ekstraklasa ဟာ ပိုလန်နိုင်ငံရဲ့ အကောင်းဆုံး ဘောလုံးပြိုင်ပွဲဖြစ်ပြီး Legia Warsaw နှင့် Lech Poznań တို့က ထိပ်တန်းအသင်းများဖြစ်ပါတယ်။
၇၆, Danish Superliga အကြောင်း ဖော်ပြပါ။,Danish Superliga ဟာ ဒိန်းမတ်နိုင်ငံရဲ့ ထိပ်တန်းပြိုင်ပွဲဖြစ်ပြီး FC Copenhagen နှင့် FC Midtjylland တို့ဟာ ထိပ်တန်းအသင်းများဖြစ်ပါတယ်။
၇၇, Mexican Liga MX အကြောင်း ဖော်ပြပါ။,Mexican Liga MX ဟာ မက္ကဆီကိုနိုင်ငံရဲ့ အထင်ကရပြိုင်ပွဲဖြစ်ပြီး Club América နှင့် Chivas တို့ဟာ နာမည်ကြီးအသင်းများဖြစ်ပါတယ်။
၇၈, Indian Super League (ISL) အကြောင်း ဖော်ပြပါ။,Indian Super League ဟာ အိန္ဒိယနိုင်ငံရဲ့ ထိပ်တန်းပြိုင်ပွဲဖြစ်ပြီး ATK Mohun Bagan နှင့် Mumbai City FC တို့က ထိပ်တန်းအသင်းများဖြစ်ကြပါတယ်။
၇၉, Costa Rican Primera División အကြောင်း ဖော်ပြပါ။,Costa Rican Primera División ဟာ ကော့စတာရီကာနိုင်ငံရဲ့ ထိပ်တန်းပြိုင်ပွဲဖြစ်ပြီး Deportivo Saprissa နှင့် LD Alajuelense တို့ဟာ ထိပ်တန်းအသင်းများဖြစ်ပါတယ်။
၈၀, Greek Super League အကြောင်း ဖော်ပြပါ။,Greek Super League ဟာ ဂရိနိုင်ငံရဲ့ ထိပ်တန်းဘောလုံးပြိုင်ပွဲဖြစ်ပြီး Olympiacos နှင့် Panathinaikos တို့က ထိပ်တန်းအသင်းများဖြစ်ကြပါတယ်။
၈၁, UEFA Champions League အကြောင်း ဖော်ပြပါ။,UEFA Champions League ဟာ ဥရောပရဲ့ အဆင့်အမြင့်ဆုံးပြိုင်ပွဲဖြစ်ပြီး ဥရောပ နိုင်ငံအသီးသီးမှ ရာသီအလိုက် ဇယားထိပ်ပိုင်းတွေက Club အသင်း ၃၂ အသင်း ပါ၀င်ကစားခွင့်ရတဲ့ ပြိုင်ပွဲဖြစ်ပါတယ်။
၈၂, UEFA Europa League အကြောင်း ဖော်ပြပါ။,UEFA Europa League ဟာ Champion League ထက် တစ်ဆင့်နိမ့်ပြီး UEFA Europa League က Champion League ၀င်ခွင့်နဲ့ နီးကပ်စွာ လွဲချော်ခဲ့သော အသင်းများအတွက် ပြိုင်ပွဲတစ်ခုဖြစ်ပါတယ်။
၈၃, UEFA Conference League အကြောင်း ဖော်ပြပါ။,UEFA Conference League ဟာ ၂၀၂၁ ခုနှစ်တွင် စတင်ပြင်ဆင်ခဲ့သော ပြိုင်ပွဲတစ်ခုဖြစ်ပြီး အလယ်အလတ် အသင်းများ ပါ၀င် ယှ၌ပြိင်ကစားခွင့်ရကြတဲ့ ပြိုင်ပွဲဖြစ်တယ်။
၈၄, UEFA Super Cup အကြောင်း ဖော်ပြပါ။,UEFA Super Cup ဟာ Champion League နဲ့ Europa League champion တွေ ယှ၌ပြိုင်ကစားရတဲ့ ဖလားလုပွဲ ဖြစ်ပါတယ်။
၈၅, Club World Cup အကြောင်း ဖော်ပြပါ။,Club World Cup ဟာ တိုက်အသီးသီးက နိုင်ငံတကာ Tournament Champion တွေ ကစားရတဲ့ ပြိုင်ပွဲဖြစ်ပါတယ်။
၈၆, Copa Libertadores အကြောင်း ဖော်ပြပါ။,Copa Libertadores ဟာ တောင်အမေရိက တိုက်ရဲ့ အဆင့်အမြင့်ဆုံး ပြိုင်ပွဲ ဖြစ်ပြီး တောင်အမေရိက Leagues တွေက အကောင်းဆုံး အသင်းများ ပါ၀င်ယှဥ်ပြိုင်တဲ့ ပြိုင်ပွဲ ဖြစ်ပါတယ်။
၈၇, Copa Sudamericana အကြောင်း ဖော်ပြပါ။,Copa Sudamericana ဟာ တောင်အမေရိက တိုက်ရဲ့ Copa Libertadores နောက် ဒုတိယ အဆင့်အမြင့်ဆုံး ပြိုင်ပွဲ ဖြစ်ပြီး တောင်အမေရိက Leagues တွေက ခြေစွမ်းကောင်းတဲ့ ဖြတ်မျဥ်း အသင်းများ ပါ၀င်ယှဥ်ပြိုင်တဲ့ ပြိုင်ပွဲ ဖြစ်ပါတယ်။
၈၈, AFC Champions League အကြောင်း ဖော်ပြပါ။,AFC Champions League ဟာ အာရှ တိုက်ရဲ့ အဆင့်အမြင့်ဆုံး ပြိုင်ပွဲ ဖြစ်ပြီး အာရှ Leagues တွေက အကောင်းဆုံး အသင်းများ ပါ၀င်ယှဥ်ပြိုင်တဲ့ ပြိုင်ပွဲ ဖြစ်ပါတယ်။
၈၉, AFC Cup အကြောင်း ဖော်ပြပါ။,AFC Cup ဟာ အာရှ တိုက်ရဲ့ AFC Champions League ပြီးနောက် ဒုတိယ အဆင့်အမြင့်ဆုံး ပြိုင်ပွဲ ဖြစ်ပြီး အာရှ Leagues တွေက ခြေစွမ်းကောင်းတဲ့ ဖြတ်မျဥ်း အသင်းများ ပါ၀င်ယှဥ်ပြိုင်တဲ့ ပြိုင်ပွဲ ဖြစ်ပါတယ်။
၉၀, CONCACAF Champions League အကြောင်း ဖော်ပြပါ။,CONCACAF Champions League ဟာ မြောက်အမေရိကနဲ့ Central အမေရိက တိုက်က အကောင်းဆုံး Club အသင်းများ ပါ၀င်ယှဥ်ပြိုင်တဲ့ ပြိုင်ပွဲ ဖြစ်ပါတယ်။
၉၁, FIFA World Cup အကြောင်း ဖော်ပြပါ။,FIFA World Cup က ကမ္ဘာ့အကြီးဆုံးနှင့် လူကြိုက်အများဆုံး ဘောလုံးပြိုင်ပွဲတစ်ခုဖြစ်တယ်။ နိုင်ငံတကာအမျိုးသားအသင်းများ ကြား ၄ နှစ်တစ်ကြိမ်ကျင်းပတယ်။ ၁၉၃၀ ခုနှစ်က ပထမဆုံးပြိုင်ပွဲကို စတင်ကျင်းပခဲ့ပြီး FIFA က စီစဉ်ပါတယ်။ ကမ္ဘာ့တစ်ဝှမ်းက နိုင်ငံအသင်းတွေက ရွေးချယ်ပွဲ အရ ပွဲအဝင်ခွင့်ရရှိကြပါတယ်။
၉၂, UEFA European Championship (EURO) အကြောင်း ဖော်ပြပါ။,UEFA European Championship (EURO) ဟာ ဥရောပနိုင်ငံများ အကြား ကျင်းပတဲ့ ဘောလုံးပြိုင်ပွဲတစ်ခုဖြစ်တယ်။ ၄ နှစ်တစ်ကြိမ်ကျင်းပပြီး UEFA က စီစဉ်တယ်။ ၁၉၆၀ ခုနှစ်မှာပထမဆုံးကျင်းပခဲ့ပြီး၊ ဥရောပလက်ရွေးစင်အသင်းများ ကြားပြိုင်ဆိုင်ကြပါတယ်။
၉၃, Copa América အကြောင်း ဖော်ပြပါ။,Copa América က တောင်အမေရိကမှ နိုင်ငံအသင်းများ အကြား ကျင်းပတဲ့ အရေးကြီးတဲ့ ဘောလုံးပြိုင်ပွဲတစ်ခုဖြစ်တယ်။ ၄ နှစ်တစ်ကြိမ် ကျင်းပပြီး CONMEBOL က စီစဉ်တယ်။ ၁၉၁၆ ခုနှစ်က ပထမဆုံးစတင်ခဲ့တယ်။
၉၄, Africa Cup of Nations (AFCON) အကြောင်း ဖော်ပြပါ။,Africa Cup of Nations (AFCON) က အာဖရိကတိုက်မှ နိုင်ငံအသင်းများ အကြား ကျင်းပတဲ့ ဘောလုံးပြိုင်ပွဲတစ်ခုဖြစ်တယ်။ ၂ နှစ်တစ်ကြိမ် ကျင်းပပြီး CAF (အာဖရိကဘောလုံးအဖွဲ့) က စီစဉ်တယ်။ ၁၉၅၇ ခုနှစ်က စတင်ခဲ့တဲ့ ပြိုင်ပွဲတစ်ခုဖြစ်တယ်။
၉၅, FIFA Women's World Cup အကြောင်း ဖော်ပြပါ။,FIFA Women's World Cup က အမျိုးသမီးဘောလုံးတွင် အကြီးဆုံးပြိုင်ပွဲ ဖြစ်တယ်။ ၄ နှစ်တစ်ကြိမ်ကျင်းပပြီး FIFA က စီစဉ်တယ်။ ၁၉၉၁ ခုနှစ်မှာ ပထမဆုံးပြိုင်ပွဲစတင်ခဲ့ပြီး အမျိုးသမီးလက်ရွေးစင်အသင်းများ ကြား ပြိုင်ဆိုင်ကြတယ်။
၉၆, AFC Asian Cup အကြောင်း ဖော်ပြပါ။,AFC Asian Cup က အာရှတိုက်မှ နိုင်ငံအသင်းများ အကြား ကျင်းပတဲ့ အကြီးဆုံးဘောလုံးပြိုင်ပွဲတစ်ခုဖြစ်တယ်။ ၄ နှစ်တစ်ကြိမ်ကျင်းပပြီး AFC (အာရှဘောလုံးအဖွဲ့) က စီစဉ်တယ်။ ၁၉၅၆ ခုနှစ်က စတင်ခဲ့တယ်။
၉၇, Concacaf Gold Cup အကြောင်း ဖော်ပြပါ။,Concacaf Gold Cup က မြောက်အမေရိက၊ အလယ်အမေရိကနှင့် ကာရီဘီယံဒေသမှ အသင်းများအကြား ကျင်းပတဲ့ ဘောလုံးပြိုင်ပွဲတစ်ခုဖြစ်တယ်။ Concacaf က စီစဉ်ပြီး ၂ နှစ်တစ်ကြိမ်ကျင်းပတယ်။
၉၈, UEFA Nations League အကြောင်း ဖော်ပြပါ။,UEFA Nations League က ဥရောပနိုင်ငံများ အကြား ပြိုင်ဆိုင်တဲ့ ပြိုင်ပွဲအသစ်ဖြစ်တယ်။ UEFA က ၂၀၁၈ ခုနှစ်မှာ စတင်စီစဉ်ခဲ့ပြီး နိုင်ငံအလိုက်အဖွဲ့များ သတ်မှတ်၍ လက်ရှိသတ်မှတ်ချက်အရအဆင့်ခွဲပြီး ပြိုင်ပွဲများပြုလုပ်တယ်။
၉၉, Suzuki Cup (AFF Championship) အကြောင်း ဖော်ပြပါ။,Suzuki Cup (AFF Championship) က တောင်ပိုင်းအာရှနိုင်ငံများ အကြား ကျင်းပတဲ့ ဘောလုံးပြိုင်ပွဲတစ်ခုဖြစ်တယ်။ AFF (တောင်ပိုင်းအာရှဘောလုံးအဖွဲ့ချုပ်) က စီစဉ်ပြီး ၂ နှစ်တစ်ကြိမ် ကျင်းပတယ်။
၁၀၀, Olympic Football အကြောင်း ဖော်ပြပါ။,Olympic Football က အိုလံပစ်အားကစားပွဲတွင် ပါဝင်တဲ့ ဘောလုံးပြိုင်ပွဲဖြစ်တယ်။ အမျိုးသားနှင့် အမျိုးသမီးအသင်းများ နှစ်မျိုးလုံး ပါဝင်နိုင်ပြီး၊ အသင်းများမှာ ယောကျာ်းလေးများအတွက် ၂၃ နှစ်အောက် ကစားသမားများသာ ပါဝင်ခွင့်ရှိတယ်။ ၁၉၀၀ ခုနှစ်က ပထမဆုံးစတင်ခဲ့ပြီး၊ အမျိုးသမီးဘောလုံးက ၁၉၉၆ ခုနှစ်မှစတင်ခဲ့တယ်။ FIFA နှင့် IOC (အိုလံပစ်ကော်မတီ) တို့၏ အစည်းအဝေးအရ ပွဲစဉ်များစီစဉ်ပေးတယ်။
၁၀၁, FIFA အကြောင်း ဖော်ပြပါ။,FIFA (Fédération Internationale de Football Association) သည် ကမ္ဘာ့ ဘောလုံးအုပ်ချုပ်မှုအဖွဲ့အစည်း ဖြစ်တယ်။ အပြိုင်အဆိုင် ပြိုင်ပွဲများကို စီစဉ်ခြင်းနှင့် နိုင်ငံတကာဘောလုံးစည်းမျဉ်းများ ထိန်းသိမ်းခြင်းလုပ်ငန်းများကို အဓိကတာဝန်ယူတယ်။ ၁၉၀၄ ခုနှစ်တွင် စတင်တည်ထောင်ခဲ့ပြီး၊ နိုင်ငံအသင်းများအကြား ပြိုင်ပွဲများ စီစဉ်တယ်။ FIFA World Cup သည် FIFA ၏ အကြီးမားဆုံးပြိုင်ပွဲဖြစ်တယ်။
၁၀၂, UEFA အကြောင်း ဖော်ပြပါ။,"UEFA (Union of European Football Associations) သည် ဥရောပနိုင်ငံများ အတွက် ဘောလုံးအုပ်ချုပ်ရေးအဖွဲ့ဖြစ်ပြီး၊ နိုင်ငံတကာနှင့် ဒေသခံပြိုင်ပွဲများကို စီစဉ်တယ်။ UEFA Champions League, UEFA Europa League, EURO (UEFA European Championship) တို့က UEFA ၏ အကြီးမားဆုံးပြိုင်ပွဲများဖြစ်တယ်။ ၁၉၅၄ ခုနှစ်က စတင်တည်ထောင်ခဲ့တယ်။"
၁၀၃, CONMEBOL အကြောင်း ဖော်ပြပါ။,"CONMEBOL (Confederación Sudamericana de Fútbol) သည် တောင်အမေရိကနိုင်ငံများ အတွက် ဘောလုံးအုပ်ချုပ်ရေးအဖွဲ့ဖြစ်တယ်။ Copa América, Copa Libertadores တို့ကို စီစဉ်ပြီး၊ တောင်အမေရိကဘောလုံးပြိုင်ပွဲများတွင် အရေးပါသည့်အဖွဲ့ဖြစ်တယ်။ ၁၉၁၆ ခုနှစ်တွင် တည်ထောင်ခဲ့တယ်။"
၁၀၄, CAF အကြောင်း ဖော်ပြပါ။,CAF (Confederation of African Football) သည် အာဖရိကနိုင်ငံများ အတွက် ဘောလုံးအုပ်ချုပ်ရေးအဖွဲ့ဖြစ်ပြီး၊ Africa Cup of Nations (AFCON) ကို စီစဉ်တယ်။ CAF သည် အာဖရိကတိုက်ရှိနိုင်ငံများ၏ အပြိုင်အဆိုင်ပြိုင်ပွဲများကို ထိန်းချုပ်ခြင်းနှင့် ပွဲစီစဉ်ခြင်းလုပ်ငန်းများအတွက်တာဝန်ယူတယ်။ ၁၉၅၇ ခုနှစ်တွင် စတင်တည်ထောင်ခဲ့တယ်။
၁၀၅, AFC အကြောင်း ဖော်ပြပါ။,AFC (Asian Football Confederation) သည် အာရှတိုက်တွင် ဘောလုံးအုပ်ချုပ်ရေးအဖွဲ့ဖြစ်တယ်။ AFC Asian Cup နှင့် AFC Champions League တို့ကို စီစဉ်တယ်။ AFC သည် အာရှတိုက်ရှိနိုင်ငံများ၏ အပြိုင်အဆိုင်ပြိုင်ပွဲများကို စီစဉ်ခြင်းနှင့် နိုင်ငံတကာပြိုင်ပွဲများတွင် အသင်းများကို အကူအညီပေးခြင်းလုပ်ငန်းများစီစဉ်တယ်။ ၁၉၅၄ ခုနှစ်က စတင်တည်ထောင်ခဲ့တယ်။
